Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2020-09-17,2406.17,2,-29.75,-0.0121999999999999,2430.77,2437.02,2398.69,853740333,14235035868846,1636916706307134.0
2020-09-18,2412.4,1,6.23,0.0026,2413.53,2417.81,2396.33,756516872,13965196874371,1640898100271018.0
2020-09-21,2389.39,2,-23.01,-0.0095,2412.44,2427.17,2379.38,1041993131,14215076014331,1625769302772281.0
2020-09-22,2332.59,2,-56.8,-0.0237999999999999,2388.14,2388.49,2323.58,1051028207,17896725781419,1587733595560952.0
2020-09-23,2333.24,1,0.65,0.0003,2352.56,2354.46,2287.44,735041523,13562935251189,1587924102514894.0
2020-09-24,2272.7,2,-60.54,-0.0259,2295.62,2309.74,2268.88,714881419,12469005382919,1547321102894255.0
2020-09-25,2278.79,1,6.09,0.0027,2295.19,2296.36,2267.63,697961594,10181604242046,1551915293505294.0
2020-09-28,2308.08,1,29.29,0.0129,2301.16,2314.81,2291.32,605977250,8971171704466,1571128314429551.0
2020-09-29,2327.89,1,19.81,0.0086,2331.51,2339.83,2320.04,646218105,9487146664002,1584465079441896.0
2020-10-05,2358.0,1,30.11,0.0129,2330.55,2364.73,2327.83,763618171,10682774304838,1604627371598546.0
2020-10-06,2365.9,1,7.9,0.0034,2369.17,2378.28,2355.39,861754649,11131424105719,1609944298087034.0
2020-10-07,2386.94,1,21.04,0.0089,2350.82,2387.45,2347.82,737994343,8971100519076,1624292281536511.0
2020-10-08,2391.96,1,5.02,0.0021,2408.49,2409.01,2383.82,961726151,12530442220994,1628133500468590.0
2020-10-12,2403.73,1,11.77,0.0049,2404.18,2409.42,2393.74,843574320,10693282773334,1636302268568863.0
2020-10-13,2403.15,2,-0.58,-0.0002,2416.85,2418.89,2385.87,724920330,10203177944787,1636705769564671.0
2020-10-14,2380.48,2,-22.67,-0.0093999999999999,2403.74,2405.56,2375.54,901176740,11018495309857,1621936204288970.0
2020-10-15,2361.21,2,-19.27,-0.0081,2375.91,2376.73,2348.74,1165501314,13029475151158,1617478082483597.0
2020-10-16,2341.53,2,-19.68,-0.0083,2363.88,2370.73,2325.03,920205454,11141460474055,1604041752351323.0
2020-10-19,2346.74,1,5.21,0.0022,2352.92,2364.25,2344.77,931645042,10490729774189,1607299315745084.0
2020-10-20,2358.41,1,11.67,0.005,2333.56,2358.41,2322.06,874293348,11833547961055,1616230745099862.0
2020-10-21,2370.86,1,12.45,0.0053,2363.03,2371.74,2356.32,812837069,9864097899775,1624489276959617.0
2020-10-22,2355.05,2,-15.81,-0.0067,2355.61,2360.22,2339.73,815612184,9774988622255,1614311508932465.0
2020-10-23,2360.81,1,5.76,0.0024,2364.84,2368.57,2344.49,890384626,10724121608942,1618108162219142.0
2020-10-26,2343.91,2,-16.9,-0.0072,2366.5,2374.5,2342.58,822267739,11654273569215,1607185398283116.0
2020-10-27,2330.84,2,-13.07,-0.0056,2328.66,2349.33,2321.23,666941810,11269186068061,1598388909961950.0
2020-10-28,2345.26,1,14.42,0.0062,2324.18,2345.46,2316.47,705770290,8941027932538,1607471156017429.0
2020-10-29,2326.67,2,-18.59,-0.0079,2312.34,2330.17,2299.91,509768187,10357788036488,1594058108729745.0
2020-10-30,2267.15,2,-59.52,-0.0256,2319.56,2320.2,2266.93,795585220,11782117594513,1553004436321479.0
2020-11-02,2300.16,1,33.01,0.0146,2276.61,2302.64,2267.95,678501162,8514452400699,1575793149855746.0
2020-11-03,2343.31,1,43.15,0.0187999999999999,2315.81,2344.77,2315.3,887445456,10874229018838,1605475497111717.0
2020-11-04,2357.32,1,14.01,0.006,2361.32,2371.14,2339.95,986786300,14835038714079,1614836760091792.0
2020-11-05,2413.79,1,56.47,0.024,2373.41,2413.79,2370.85,702037484,12578752394172,1653392888446002.0
2020-11-06,2416.5,1,2.71,0.0011,2421.79,2431.11,2404.97,825568502,12579332613740,1655495906955745.0
2020-11-09,2447.2,1,30.7,0.0127,2438.63,2459.15,2434.52,1354862753,14847225309910,1676944568916187.0
2020-11-10,2452.83,1,5.63,0.0023,2453.95,2457.94,2435.59,1464168039,17981336024179,1681030953363295.0
2020-11-11,2485.87,1,33.04,0.0135,2459.5,2488.04,2459.5,1272038626,18307325541732,1703946066895422.0
2020-11-12,2475.62,2,-10.25,-0.0040999999999999,2482.68,2488.79,2467.04,1278691998,16420009591949,1698329618456244.0
2020-11-13,2493.87,1,18.25,0.0074,2470.12,2495.77,2460.96,1072383498,17043855124582,1710439788437341.0
2020-11-16,2543.03,1,49.16,0.0197,2507.46,2546.37,2507.46,1239135119,19088399737620,1744282188041007.0
2020-11-17,2539.15,2,-3.88,-0.0015,2544.12,2556.09,2533.34,1267494728,17795513090344,1742186196159940.0
2020-11-18,2545.64,1,6.49,0.0026,2548.85,2553.95,2536.78,923504383,13554047699644,1746416815167178.0
2020-11-19,2547.42,1,1.78,0.0007,2536.89,2548.95,2529.53,976483462,12515007352046,1747598155153766.0
2020-11-20,2553.5,1,6.08,0.0024,2544.06,2558.21,2539.79,1129500879,12266185661760,1752065079766571.0
2020-11-23,2602.59,1,49.09,0.0192,2560.04,2605.58,2553.7,1649443107,15763526188303,1786992047787319.0
2020-11-24,2617.76,1,15.17,0.0058,2616.28,2628.52,2605.03,1364506405,16886574054872,1797825354983515.0
2020-11-25,2601.54,2,-16.22,-0.0062,2637.34,2642.26,2583.41,1410104868,21795847753690,1786075295495671.0
2020-11-26,2625.91,1,24.37,0.0093999999999999,2605.73,2625.97,2592.43,1387435238,12714565083678,1803103424613782.0
2020-11-27,2633.45,1,7.54,0.0029,2624.8,2635.0,2618.47,1196041606,12641691352531,1808171429285452.8
2020-11-30,2591.34,2,-42.11,-0.016,2648.05,2648.66,2591.34,1311831336,21231831917326,1779635399547144.0
2020-12-01,2634.25,1,42.91,0.0166,2613.42,2638.87,2611.67,1151129297,15947293131345,1809494578238152.8
2020-12-02,2675.9,1,41.65,0.0158,2645.88,2677.26,2644.53,1076203655,17506705123429,1838364843453852.0
