ticker,period,balance,balance_ratio,listed_shares
031210,2026-01-01,21493,0.03,69821598
031210,2026-02-01,21993,0.03,69821598
031210,2026-03-01,21993,0.03,69821598
031210,2026-04-01,21993,0.03,69821598
031210,2026-05-01,33797,0.05,69821598
031210,2026-06-01,19993,0.03,69821598
031330,2025-04-01,99417,0.1,99995067
031330,2025-05-01,97548,0.1,99995067
031330,2025-06-01,52237,0.05,99995067
031330,2025-07-01,52237,0.05,99995067
031330,2025-08-01,113038,0.11,99995067
031330,2025-09-01,49935,0.05,99995067
031330,2025-10-01,46396,0.05,99995067
031330,2025-11-01,0,0.0,99995067
031330,2025-12-01,40279,0.04,99995067
031330,2026-01-01,0,0.0,99995067
031330,2026-02-01,0,0.0,99995067
031330,2026-03-01,0,0.0,99995067
031330,2026-04-01,0,0.0,99995067
031330,2026-05-01,0,0.0,99995067
031330,2026-06-01,0,0.0,99995067
031980,2025-04-01,15035,0.07,21562395
031980,2025-05-01,43269,0.2,21562395
031980,2025-06-01,55686,0.26,21562395
031980,2025-07-01,65001,0.3,21562395
031980,2025-08-01,51620,0.24,21562395
031980,2025-09-01,118355,0.55,21562395
031980,2025-10-01,203744,0.94,21562395
031980,2025-11-01,318305,1.48,21562395
031980,2025-12-01,310950,1.44,21562395
031980,2026-01-01,354518,1.64,21562395
031980,2026-02-01,240533,1.12,21562395
031980,2026-03-01,171765,0.8,21562395
031980,2026-04-01,94948,0.44,21562395
031980,2026-05-01,38935,0.18,21562395
031980,2026-06-01,51819,0.24,21562395
032190,2025-04-01,77538,0.2,38300000
032190,2025-05-01,51904,0.14,38300000
032190,2025-06-01,108054,0.28,38300000
032190,2025-07-01,132604,0.35,38300000
032190,2025-08-01,100727,0.26,38300000
032190,2025-09-01,62428,0.16,38300000
032190,2025-10-01,58627,0.15,38300000
032190,2025-11-01,74327,0.19,38300000
032190,2025-12-01,49590,0.13,38300000
032190,2026-01-01,43858,0.11,38300000
032190,2026-02-01,134943,0.35,38300000
032190,2026-03-01,137080,0.36,38300000
032190,2026-04-01,62668,0.16,38300000
032190,2026-05-01,105541,0.28,38300000
032190,2026-06-01,121587,0.32,38300000
032500,2025-04-01,600288,1.51,39820883
032500,2025-05-01,504447,1.27,39820883
032500,2025-06-01,596384,1.5,39820883
032500,2025-07-01,506124,1.27,39944705
032500,2025-08-01,344776,0.86,40295527
032500,2025-09-01,203808,0.5,40744533
032500,2025-10-01,355704,0.87,40744533
032500,2025-11-01,599507,1.47,40905109
032500,2025-12-01,757893,1.85,40930109
032500,2026-01-01,636797,1.56,40930109
032500,2026-02-01,624380,1.52,41207524
032500,2026-03-01,402613,0.97,41461384
032500,2026-04-01,400144,0.95,42154875
032500,2026-05-01,559996,1.33,42191701
032500,2026-06-01,705346,1.67,42191701
032640,2025-04-01,119839,0.03,436611361
032640,2025-05-01,265609,0.06,436611361
032640,2025-06-01,345583,0.08,436611361
032640,2025-07-01,948861,0.22,436611361
032640,2025-08-01,1078341,0.25,429828355
032640,2025-09-01,1269940,0.3,429828355
032640,2025-10-01,1630910,0.38,429828355
032640,2025-11-01,1466639,0.34,429828355
032640,2025-12-01,1533464,0.36,429828355
032640,2026-01-01,2007205,0.47,429828355
032640,2026-02-01,1980561,0.46,429828355
032640,2026-03-01,1658510,0.39,429828355
032640,2026-04-01,2435695,0.57,429828355
032640,2026-05-01,3044703,0.72,424427732
032640,2026-06-01,3133873,0.74,424427732
032820,2025-04-01,1900123,1.15,164677432
032820,2025-05-01,4438437,2.7,164677432
032820,2025-06-01,2642378,1.6,165530656
032820,2025-07-01,4236282,2.56,165530656
032820,2025-08-01,4269781,2.58,165530656
032820,2025-09-01,6029970,3.63,166271941
032820,2025-10-01,4985360,3.0,166271941
032820,2025-11-01,5726205,3.44,166647878
032820,2025-12-01,10732232,6.44,166756790
032820,2026-01-01,5037217,3.02,166756790
032820,2026-02-01,6001103,3.6,166773554
032820,2026-03-01,4691343,2.74,171096282
032820,2026-04-01,11422036,6.68,171096282
032820,2026-05-01,7532533,4.39,171605186
032820,2026-06-01,7194386,4.19,171605186
032830,2025-04-01,103020,0.05,200000000
032830,2025-05-01,120757,0.06,200000000
032830,2025-06-01,359645,0.18,200000000
032830,2025-07-01,193865,0.1,200000000
032830,2025-08-01,523917,0.26,200000000
032830,2025-09-01,587103,0.29,200000000
032830,2025-10-01,234716,0.12,200000000
032830,2025-11-01,241153,0.12,200000000
032830,2025-12-01,83993,0.04,200000000
032830,2026-01-01,90192,0.05,200000000
032830,2026-02-01,208963,0.1,200000000
032830,2026-03-01,224810,0.11,200000000
032830,2026-04-01,392630,0.2,200000000
032830,2026-05-01,690325,0.35,200000000
032830,2026-06-01,578510,0.29,200000000
033100,2025-04-01,220423,1.37,16062409
033100,2025-05-01,171639,1.07,16062409
033100,2025-06-01,614012,3.82,16062409
033100,2025-07-01,810542,5.05,16062409
033100,2025-08-01,834151,5.19,16062409
033100,2025-09-01,796153,4.96,16062409
033100,2025-10-01,667707,4.16,16062409
033100,2025-11-01,752583,4.69,16062409
033100,2025-12-01,943249,5.87,16062409
033100,2026-01-01,734613,4.57,16062409
033100,2026-02-01,1062307,6.61,16062409
033100,2026-03-01,975105,6.07,16062409
033100,2026-04-01,1086460,6.76,16062409
033100,2026-05-01,1240693,7.72,16062409
033100,2026-06-01,1159013,7.22,16062409
033500,2025-04-01,0,0.0,29989494
033500,2025-05-01,0,0.0,29989494
033500,2025-06-01,5529,0.02,29989494
033500,2025-07-01,0,0.0,29989494
033500,2025-08-01,17457,0.06,29989494
033500,2025-09-01,0,0.0,29989494
033500,2025-10-01,6330,0.02,29989494
033500,2025-11-01,5865,0.02,29989494
033500,2025-12-01,83014,0.28,29989494
033500,2026-01-01,162122,0.54,29989494
033500,2026-02-01,131359,0.44,29989494
033500,2026-03-01,33737,0.11,29989494
033500,2026-04-01,32888,0.11,29989494
033500,2026-05-01,56971,0.19,29989494
033500,2026-06-01,48387,0.16,29989494
033640,2025-04-01,401277,1.74,23059202
033640,2025-05-01,417431,1.81,23059202
033640,2025-06-01,306264,1.33,23059202
033640,2025-07-01,224069,0.97,23059202
033640,2025-08-01,194775,0.84,23059202
033640,2025-09-01,201593,0.87,23059202
033640,2025-10-01,183296,0.79,23059202
033640,2025-11-01,181389,0.79,23059202
033640,2025-12-01,159528,0.69,23059202
033640,2026-01-01,132774,0.58,23059202
033640,2026-02-01,100959,0.44,23059202
033640,2026-03-01,128920,0.56,23059202
033640,2026-04-01,108604,0.47,23059202
033640,2026-05-01,74200,0.32,23059202
033640,2026-06-01,150129,0.65,23059202
033780,2025-04-01,98303,0.08,122062497
033780,2025-05-01,12668,0.01,122062497
033780,2025-06-01,12408,0.01,122062497
033780,2025-07-01,13818,0.01,122062497
033780,2025-08-01,26010,0.02,122062497
033780,2025-09-01,63107,0.05,122062497
033780,2025-10-01,96631,0.08,119872752
033780,2025-11-01,70735,0.06,117976645
033780,2025-12-01,39134,0.03,117976645
033780,2026-01-01,22425,0.02,117976645
033780,2026-02-01,11065,0.01,117976645
033780,2026-03-01,10952,0.01,114676645
033780,2026-04-01,90241,0.08,114676645
033780,2026-05-01,0,0.0,103810456
033780,2026-06-01,23831,0.02,103810456
033790,2025-04-01,119845,0.53,22822800
033790,2025-05-01,198066,0.87,22822800
033790,2025-06-01,174597,0.77,22822800
033790,2025-07-01,118726,0.52,22822800
033790,2025-08-01,227124,0.33,68037321
033790,2025-09-01,261882,0.38,68037321
033790,2025-10-01,263016,0.39,68037321
033790,2025-11-01,244761,0.36,68037321
033790,2025-12-01,85294,0.13,68037321
033790,2026-01-01,25459,0.04,68037321
033790,2026-02-01,0,0.0,68037321
033790,2026-03-01,208671,0.31,68037321
033790,2026-04-01,78387,0.1,82331788
033790,2026-05-01,0,0.0,82331788
033790,2026-06-01,0,0.0,82331788
034020,2025-04-01,342126,0.05,640561146
034020,2025-05-01,783814,0.12,640561146
034020,2025-06-01,1121539,0.18,640561146
034020,2025-07-01,1176659,0.18,640561146
034020,2025-08-01,1516350,0.24,640561146
034020,2025-09-01,847941,0.13,640561146
034020,2025-10-01,325500,0.05,640561146
034020,2025-11-01,2708415,0.42,640561146
034020,2025-12-01,4823127,0.75,640561146
