period,group_name,keywords,ratio,chunk_id
2024-05-01,battery,2차전지|배터리|전고체배터리|양극재,0.36004,0
2024-06-01,battery,2차전지|배터리|전고체배터리|양극재,0.45117,0
2024-07-01,battery,2차전지|배터리|전고체배터리|양극재,0.38937,0
2024-08-01,battery,2차전지|배터리|전고체배터리|양극재,0.50192,0
2024-09-01,battery,2차전지|배터리|전고체배터리|양극재,0.38612,0
2024-10-01,battery,2차전지|배터리|전고체배터리|양극재,0.32832,0
2024-11-01,battery,2차전지|배터리|전고체배터리|양극재,0.46472,0
2024-12-01,battery,2차전지|배터리|전고체배터리|양극재,0.3463,0
2025-01-01,battery,2차전지|배터리|전고체배터리|양극재,0.37065,0
2025-02-01,battery,2차전지|배터리|전고체배터리|양극재,0.43033,0
2025-03-01,battery,2차전지|배터리|전고체배터리|양극재,0.35445,0
2025-04-01,battery,2차전지|배터리|전고체배터리|양극재,0.27654,0
2025-05-01,battery,2차전지|배터리|전고체배터리|양극재,0.41797,0
2025-06-01,battery,2차전지|배터리|전고체배터리|양극재,0.39981,0
2025-07-01,battery,2차전지|배터리|전고체배터리|양극재,0.38655,0
2025-08-01,battery,2차전지|배터리|전고체배터리|양극재,0.43355,0
2025-09-01,battery,2차전지|배터리|전고체배터리|양극재,0.5958,0
2025-10-01,battery,2차전지|배터리|전고체배터리|양극재,0.86134,0
2025-11-01,battery,2차전지|배터리|전고체배터리|양극재,0.36338,0
2025-12-01,battery,2차전지|배터리|전고체배터리|양극재,0.35422,0
2026-01-01,battery,2차전지|배터리|전고체배터리|양극재,0.78275,0
2026-02-01,battery,2차전지|배터리|전고체배터리|양극재,0.40331,0
2026-03-01,battery,2차전지|배터리|전고체배터리|양극재,0.32801,0
2026-04-01,battery,2차전지|배터리|전고체배터리|양극재,0.40257,0
2026-05-01,battery,2차전지|배터리|전고체배터리|양극재,0.36284,0
2026-06-01,battery,2차전지|배터리|전고체배터리|양극재,0.05392,0
2021-01-01,market_anchor,코스피|코스닥|주식,41.0458,0
2021-02-01,market_anchor,코스피|코스닥|주식,28.53669,0
2021-03-01,market_anchor,코스피|코스닥|주식,26.46336,0
2021-04-01,market_anchor,코스피|코스닥|주식,17.89123,0
2021-05-01,market_anchor,코스피|코스닥|주식,17.12051,0
2021-06-01,market_anchor,코스피|코스닥|주식,14.16577,0
2021-07-01,market_anchor,코스피|코스닥|주식,13.36778,0
2021-08-01,market_anchor,코스피|코스닥|주식,16.49357,0
2021-09-01,market_anchor,코스피|코스닥|주식,12.64596,0
2021-10-01,market_anchor,코스피|코스닥|주식,16.58623,0
2021-11-01,market_anchor,코스피|코스닥|주식,18.9459,0
